1,2.568050833
2,3.297442541
3,4.234000033
4,5.436563657
5,6.980685915
6,8.963378141
7,11.50920535
8,14.7781122
9,18.97547167
10,24.36498792
11,31.28526377
12,40.17107385
13,51.58067983
14,66.23090392
15,85.042164
16,109.1963001
17,140.2108247
18,180.0342626
19,231.1685691
20,296.8263182
21,381.1325369
22,489.3838645
23,628.3813206
24,806.857587
25,1036.025649
26,1330.283266
27,1708.117525
28,2193.266317
29,2816.209696
30,3616.084829
31,4643.144829
32,5961.915974
33,7655.251643
34,9829.537681
35,12621.37622
36,16206.16786
37,20809.13143
38,26719.45366
39,34308.45762
40,44052.93159
41,56565.08384
42,72631.00535
43,93260.05691
44,119748.2834
45,153759.8395
46,197431.542
47,253507.118
48,325509.5828
49,417962.5777
50,536674.573
51,689103.7923
52,884826.784
53,1136140.08
54,1458832.74
55,1873178.316
56,2405208.568
57,3088348.934
58,3965518.527
59,5091826.579
60,6538034.745
61,8395002.788
62,10779396.95
63,13841019.66
64,17772221.04
65,22819983.53
66,29301438.86
67,37623792.24
68,48309905.51
69,62031146.55
70,79649568.8
71,102272070.8
72,131319938.3
73,168618138.5
74,216509975.5
75,278004311.5
76,356964601.9
77,458351621.7
78,588535132.1
79,755694068.2
80,970330390.8
81,1245928884
82,1599804355
83,2054189453
84,2637631469
85,3386785846
86,4348719107
87,5583865864
88,7169825692
89,9206238422
90,11821044126
91,15178521110
92,19489606892
93,25025150611
94,32132929441
95,41259498115
96,52978244260
97,68025412161
98,87346358195
99,112154943978
100,144009798675
